tour,year,uk_tournament_id,location,tournament_name,series,surface,best_of,is_outdoor,start_date,end_date,num_matches,source_event_key,num_rounds,num_awarded_matches,num_completed_matches,num_disqualified_matches,num_retired_matches,num_walkover_matches,num_players,champion,runner_up,champion_avg_rank,champion_avg_odds,location_tournament_key
atp,2009,13,Buenos Aires,Copa Telmex,atp_250,clay,3,True,2009-02-16,2009-02-22,31,2009_13_buenos_aires_copa_telmex,5,0,30,0,1,0,32,Robredo T.,Monaco J.,17.0,,buenos_aires_copa_telmex
atp,2009,14,Marseille,Open 13,atp_250,hard,3,False,2009-02-16,2009-02-22,31,2009_14_marseille_open_13,5,0,31,0,0,0,32,Tsonga J.W.,Llodra M.,12.0,,marseille_open_13
atp,2009,15,Memphis,Regions Morgan Keegan Championships,atp_250,hard,3,False,2009-02-16,2009-02-22,31,2009_15_memphis_regions_morgan_keegan_championships,5,0,31,0,0,0,32,Roddick A.,Stepanek R.,6.0,,memphis_regions_morgan_keegan_championships
atp,2009,16,Acapulco,Abierto Mexicano,atp_500,clay,3,True,2009-02-23,2009-03-01,31,2009_16_acapulco_abierto_mexicano,5,0,29,0,2,0,32,Almagro N.,Monfils G.,21.0,,acapulco_abierto_mexicano
atp,2009,17,Delray Beach,International Championships,atp_250,hard,3,True,2009-02-23,2009-03-01,31,2009_17_delray_beach_international_championships,5,0,30,0,1,0,32,Fish M.,Korolev E.,20.0,,delray_beach_international_championships
atp,2009,18,Dubai,Dubai Tennis Championships,atp_500,hard,3,True,2009-02-23,2009-02-28,31,2009_18_dubai_dubai_tennis_championships,5,0,29,0,1,1,32,Djokovic N.,Ferrer D.,3.0,,dubai_dubai_tennis_championships
atp,2009,19,Indian Wells,BNP Paribas Open,masters_1000,hard,3,True,2009-03-12,2009-03-22,95,2009_19_indian_wells_bnp_paribas_open,7,0,90,0,5,0,96,Nadal R.,Murray A.,1.0,,indian_wells_bnp_paribas_open
atp,2009,20,Miami,Sony Ericsson Open,masters_1000,hard,3,True,2009-03-25,2009-04-05,95,2009_20_miami_sony_ericsson_open,7,0,93,0,2,0,96,Murray A.,Djokovic N.,4.0,,miami_sony_ericsson_open
atp,2009,21,Casablanca,Grand Prix Hassan II,atp_250,clay,3,True,2009-04-06,2009-04-12,31,2009_21_casablanca_grand_prix_hassan_ii,5,0,30,0,1,0,32,Ferrero J.C.,Serra F.,115.0,,casablanca_grand_prix_hassan_ii
atp,2009,22,Houston,U.S. Men's Clay Court Championships,atp_250,clay,3,True,2009-04-06,2009-04-12,31,2009_22_houston_u_s_men_s_clay_court_championships,5,0,31,0,0,0,32,Hewitt L.,Odesnik W.,88.0,,houston_u_s_men_s_clay_court_championships
atp,2009,23,Monte Carlo,Monte Carlo Masters,masters_1000,clay,3,True,2009-04-12,2009-04-19,55,2009_23_monte_carlo_monte_carlo_masters,6,0,55,0,0,0,56,Nadal R.,Djokovic N.,1.0,,monte_carlo_monte_carlo_masters
atp,2009,24,Barcelona,Open Banco Sabadell,atp_500,clay,3,True,2009-04-20,2009-04-26,55,2009_24_barcelona_open_banco_sabadell,6,0,52,0,2,1,56,Nadal R.,Ferrer D.,1.0,,barcelona_open_banco_sabadell
atp,2009,25,Rome,Internazionali BNL d'Italia,masters_1000,clay,3,True,2009-04-27,2009-05-03,55,2009_25_rome_internazionali_bnl_d_italia,6,0,55,0,0,0,56,Nadal R.,Djokovic N.,1.0,,rome_internazionali_bnl_d_italia
atp,2009,26,Belgrade,Serbia Open,atp_250,clay,3,True,2009-05-05,2009-05-10,27,2009_26_belgrade_serbia_open,5,0,26,0,1,0,28,Djokovic N.,Kubot L.,3.0,,belgrade_serbia_open
atp,2009,27,Estoril,Estoril Open,atp_250,clay,3,True,2009-05-03,2009-05-10,31,2009_27_estoril_estoril_open,5,0,31,0,0,0,32,Montanes A.,Blake J.,35.0,,estoril_estoril_open
atp,2009,28,Munich,BMW Open,atp_250,clay,3,True,2009-05-03,2009-05-10,31,2009_28_munich_bmw_open,5,0,28,0,3,0,32,Berdych T.,Youzhny M.,28.0,,munich_bmw_open
atp,2009,29,Madrid,Mutua Madrileña Madrid Open,masters_1000,clay,3,True,2009-05-10,2009-05-17,55,2009_29_madrid_mutua_madrile_a_madrid_open,6,0,50,0,3,2,56,Federer R.,Nadal R.,2.0,,madrid_mutua_madrile_a_madrid_open
atp,2009,30,Kitzbuhel,Austrian Open,atp_250,clay,3,True,2009-05-17,2009-05-23,31,2009_30_kitzbuhel_austrian_open,5,0,30,0,1,0,32,Garcia-Lopez G.,Benneteau J.,74.0,,kitzbuhel_austrian_open
atp,2009,31,Paris,French Open,grand_slam,clay,5,True,2009-05-24,2009-06-07,127,2009_31_paris_french_open,7,0,121,0,6,0,128,Federer R.,Soderling R.,2.0,,paris_french_open
atp,2009,32,Halle,Gerry Weber Open,atp_250,grass,3,True,2009-06-08,2009-06-14,31,2009_32_halle_gerry_weber_open,5,0,30,0,1,0,32,Haas T.,Djokovic N.,41.0,,halle_gerry_weber_open
atp,2009,33,Queens Club,AEGON Championships,atp_250,grass,3,True,2009-06-08,2009-06-14,55,2009_33_queens_club_aegon_championships,6,0,51,0,3,1,56,Murray A.,Blake J.,3.0,,queens_club_aegon_championships
atp,2009,34,Eastbourne,AEGON International,atp_250,grass,3,True,2009-06-14,2009-06-20,31,2009_34_eastbourne_aegon_international,5,0,30,0,1,0,32,Tursunov D.,Dancevic F.,27.0,,eastbourne_aegon_international
atp,2009,35,'s-Hertogenbosch,Ordina Open,atp_250,grass,3,True,2009-06-14,2009-06-20,31,2009_35_s_hertogenbosch_ordina_open,5,0,29,0,2,0,32,Becker B.,Sluiter R.,82.0,,s_hertogenbosch_ordina_open
