tour,year,tourney_id,tourney_number,tournament_name,tourney_level,surface,best_of,draw_size
atp,2006,2006-D045,1,1,1,1,2,1
atp,2006,2006-D046,1,1,1,1,2,1
atp,2006,2006-D047,1,1,1,1,2,1
atp,2006,2006-D048,1,1,1,1,2,1
atp,2006,2006-D049,1,1,1,1,2,1
atp,2006,2006-D050,1,1,1,1,2,1
atp,2006,2006-D052,1,1,1,1,2,1
atp,2006,2006-D053,1,1,1,1,2,1
atp,2006,2006-D055,1,1,1,1,2,1
atp,2006,2006-D056,1,1,1,1,2,1
atp,2006,2006-D057,1,1,1,1,2,1
atp,2006,2006-D058,1,1,1,1,2,1
atp,2006,2006-D060,1,1,1,1,2,1
atp,2006,2006-D061,1,1,1,1,2,1
atp,2006,2006-D062,1,1,1,1,2,1
atp,2006,2006-D063,1,1,1,1,2,1
atp,2006,2006-D065,1,1,1,1,2,1
atp,2006,2006-D067,1,1,1,1,2,1
atp,2006,2006-D068,1,1,1,1,2,1
atp,2006,2006-D069,1,1,1,1,2,1
atp,2006,2006-D070,1,1,1,1,2,1
atp,2006,2006-D071,1,1,1,1,2,1
atp,2006,2006-D073,1,1,1,1,2,1
atp,2006,2006-D075,1,1,1,1,2,1
atp,2006,2006-D076,1,1,1,1,2,1
atp,2006,2006-D077,1,1,1,1,2,1
atp,2006,2006-D081,1,1,1,1,2,1
atp,2006,2006-D082,1,1,1,1,2,1
atp,2006,2006-D083,1,1,1,1,2,1
atp,2006,2006-D084,1,1,1,1,2,1
atp,2007,2007-403,1,1,1,1,2,1
atp,2007,2007-496,1,1,1,1,2,1
atp,2007,2007-506,1,1,1,1,2,1
atp,2007,2007-533,1,1,1,1,2,1
atp,2007,2007-605,1,1,1,1,2,1
atp,2007,2007-D002,1,1,1,1,2,1
atp,2007,2007-D003,1,1,1,1,2,1
atp,2007,2007-D005,1,1,1,1,2,1
atp,2007,2007-D006,1,1,1,1,2,1
atp,2007,2007-D007,1,1,1,1,2,1
atp,2007,2007-D008,1,1,1,1,2,1
atp,2007,2007-D009,1,1,1,1,2,1
